# File = hlsp_m83_autocat_ages_public.data
#
# This cluster catalog was used in Chandar et al. 2010, ApJ, 719, 966.
#
# This file contains the ages, extinctions, and masses estimated for clusters in a single field
# of M83 imaged with the WFC3.  These values are the best currently available
# from this catalog (hence the use of "tentative ages"  in the paper), but
# may change in the future.
#
# The cluster catalog which includes photometry for all of these clusters
# can be found in the file = hlsp_wfc3ers_hst_wfc3_m83_cat_cluster_auto_v1.txt
# available from http://**** .
#
# DESCRIPTION OF METHOD:
#
# The age (in log yrs) and extinction (E(B-V)) is estimated for each cluster by finding the
# minimum chi square between the observed and predicted magnitudes
# for different combinations of age and extinction in the following filters: 
# F336W (~U) , F438W (~B) , F555W (~V), and F814W (~I), and F657N (~Halpha).
# These are given by the 'bestage' and 'bestebv' columns.
# The formal, 1sigma minimum and maximum extinction and age is also given,
# although these values are almost certainly underestimates of the true 
# uncertainties.  These also do not capture the fact that there are
# occassionally two different combinations of age/extinction that give
# nearly equally good fits for some clusters.
#
# The mass for each cluster is estimated from its extinction corrected V band luminosity
# combined with the predicted (age-dependent) mass-to-light ratio in the V 
# band.  Two masses are given in this file.  The first 'mass1' uses a V band luminosity
# for each cluster which has an aperture correction that depends on the measured
# concentration index of the cluster (see Chandar et al. 2010 for details), and
#  the second 'mass2' uses a V band magnitude for each cluster where a mean aperture
# correction of -0.9 magnitudes has been added to each cluster. The 'mass1'
# measurements are preferred.
#
# The results here use predictions from the 2xsolar metallicity, single stellar population
# models from Bruzual & Charlot (private communication).  
# Predictions from the solar metallicity models did not match
# the observations as well as the twice solar model.
# Please see Figures 6 & 7 in Chandar et al. 2010 for a comparison of the photometric
# measurements with Bruzual & Charlot predictions.
#
# The chi square minimization method used to derive the age,
# extinction, and mass for each cluster is also described in Chandar et al. (2010).
# The age-dating assumes a Galactic-type extinction law extinction law
# with R_v = Av/E(B-V) = 3.1.
# 
# Magnitudes in the narrow-band 'Halpha' filter were included directly in the
# SED fit.  The method assumes that this filter contains
# both continuum (from stars) and line (from gas) emission.
# Therefore, we do not perform any continuum subtraction in the 
# observations, and we add together predictions from both the
# stellar and nebular components.  For the latter, we assume
# case B recombination, plus a typical 'leakage' of ionizing photons
# to account for the use of fairly small apertures that miss 
# most of the line emission in clusters with ages between
# approximately 4-8 Myr (see Whitmore et al. 2011, ApJ, 729, 78
# for a discussion of Halpha morphology vs. cluster age). 
#
# We are continuously improving our age-dating techniques,
# so please contact Rupali Chandar prior to quoting any
# ages from this file.  In particular, we are 
# likely to have updated ages for both the central and
# northern ERS fields in late spring 2011.
#
# contact info: Rupali.Chandar@utoledo.edu 
# March 5, 2011
#
#       x          y          id     minebv   bestebv maxebv  minage  bestage maxage         mass1         mass2
     3943.30     2184.76    41860   -999.00 -999.00 -999.00  -999.00 -999.00 -999.00         -999.0         -999.0
     3807.36     1927.98    36651      0.00    0.00    0.00     6.64    6.64    6.64        48027.4        69419.4 
     2476.53     3504.52    69793      0.00    0.00    0.00     6.64    6.64    6.64        35395.6        58976.7
     3822.74     2093.36    40073      0.04    0.06    0.06     6.58    6.58    6.58        33825.4        55496.5
     3840.51     1967.74    37469      0.16    0.16    0.18     6.54    6.56    6.56        36184.2        53577.6
     3808.89     1950.50    37095      0.00    0.00    0.00     7.38    7.38    7.38       129518.4       199300.6
     3807.04     2076.36    39744      0.20    0.20    0.22     6.74    6.74    6.74        46983.1        80338.8
     3871.09     2249.93    43075   -999.00 -999.00 -999.00  -999.00 -999.00 -999.00         -999.0         -999.0
     3862.29     1980.94    37732      0.02    0.04    0.06     7.38    7.38    7.40        99243.4       152527.3
     3381.10     1633.64    30950      0.00    0.00    0.02     7.51    7.53    7.56       139314.7       190773.4
     3705.07     1893.94    35937      0.04    0.06    0.08     6.78    6.80    6.80        25504.5        39173.8
     2864.21     3389.51    66054      0.00    0.00    0.00     7.10    7.10    7.24        36380.4        60617.6
     3511.87     2820.52    53040      0.00    0.00    0.00     8.76    8.76    8.81       457135.2       774555.2
     3845.16     2029.18    38768      0.18    0.20    0.22     6.70    6.70    6.72        18213.7        26910.3
     3598.55     1999.45    38115      0.00    0.02    0.04     6.66    6.68    6.70         9503.7        16246.4
     2987.89     3804.89    78807      0.00    0.00    0.00     6.64    6.64    6.64         7369.1        12855.3
      890.18     2675.09    49893      0.00    0.00    0.00     6.64    6.64    6.64         7572.7        12030.4
     3754.21     2015.26    38453      0.16    0.34    0.36     6.40    6.40    6.76        17817.5        29351.2
     3809.12     2127.84    40720      0.50    0.50    0.50     6.82    6.82    6.82        99639.2       115236.9
     1251.78     3377.86    65733      0.02    0.04    0.06     7.54    7.60    7.65        65995.0       104843.5
      664.23     2130.14    40779      0.00    0.02    0.04     7.86    7.91    7.96       120827.8       145263.7
     3553.71     3714.00    76156      0.00    0.00    0.00     7.49    7.51    7.53        74493.7        80281.1
     4055.69     2090.50    40012      0.00    0.00    0.00     7.38    7.38    7.38        39032.4        59198.2
     3752.10     2043.31    39061      0.14    0.16    0.18     6.54    6.56    6.56        14125.4        17401.3
     1412.31     3513.97    70060      0.00    0.00    0.00     6.68    6.68    6.68         5754.3         9890.9
     3763.89     1315.94    23366      0.06    0.08    0.10     6.64    6.64    6.64         7018.0        12324.3
     1694.75     1932.07    36725      0.04    0.06    0.06     7.59    7.65    7.74        69342.3        93158.8
      848.13     3391.72    66123      0.00    0.00    0.02     7.49    7.52    7.56        35857.2        62109.3
     1660.73     2762.31    51616      0.12    0.14    0.16     6.54    6.56    6.56         6572.3        11541.5
     1529.21      680.24     7716      0.00    0.00    0.00     7.24    7.24    7.24        21184.6        36870.8
     3745.43     1960.71    37308      0.24    0.26    0.28     6.38    6.38    6.40        11244.1        15816.7
     3774.25     2011.30    38370      0.38    0.40    0.42     6.76    6.76    6.76        37154.2        44668.2
      972.93     3449.96    67958      0.06    0.08    0.10     6.64    6.64    6.66        10423.2        10383.9
     3736.93     2058.31    39375      0.10    0.12    0.16     6.48    6.48    6.48         7465.5         6567.7
     3739.23     1909.43    36257      0.40    0.42    0.44     6.40    6.40    6.40        15210.2        24038.4
     3830.38     1834.00    34763      0.12    0.14    0.16     7.56    7.58    7.63        68404.2        94535.9
     3042.17     3719.14    76305      0.00    0.00    0.00     7.38    7.38    7.38        21990.9        38362.6
     4001.63     2302.39    44034      0.00    0.00    0.00     7.70    7.74    7.76        54326.9        61988.1
