 Grid of OB stars from Teff 50-25kK consisting of spectral
 classes V, III, I represented by wavelength versus flux. (Note:
 the giant models are interpolated.)  The flux is in Flambda
 units (ergs/cm^2/s/Angstrom) and wavelength is in Angstroms.
 At the top of each model is a line giving:
 model number, log(Teff), log(Lum), log(g). Thanks to Adi
 Pauldrach for the use of his NLTE WMBasic code which produced
 these models.
 This is the 1/20th solar grid.
 Note:models go dwarf, giant, sgiant 50 - 25kK
 CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC
 
   1.000000       4.690000       5.730000       4.000000    
   91.00000       3.270218    
   94.00000       10.53102    
   96.00000       21.71262    
   98.00000       43.66182    
   100.0000       72.41572    
   102.0000       132.2129    
   104.0000       245.9208    
   106.0000       436.3643    
   108.0000       761.5536    
   110.0000       1395.899    
   114.0000       3466.755    
   118.0000       8983.813    
   121.0000       15796.94    
   125.0000       34899.73    
   127.0000       33887.07    
   128.0000       25095.17    
   131.0000       43337.02    
   132.0000       50883.08    
   134.0000       70083.17    
   137.0000       100817.2    
   140.0000       164340.7    
   143.0000       210465.8    
   147.0000       379057.9    
   151.0000       648497.1    
   155.0000       1068697.    
   159.0000       1590291.    
   162.0000       1258739.    
   166.0000       2144658.    
   170.0000       3153032.    
   173.0000       4247614.    
   177.0000       5228395.    
   180.0000       7466950.    
   182.0000       8175692.    
   186.0000      6.4510428E+07
   191.0000      1.8617496E+07
   194.0000      2.3579316E+07
   198.0000      2.7471412E+07
   202.0000      3.7920000E+07
   205.0000      4.9550516E+07
   210.0000      7.7391032E+07
   216.0000      9.7814352E+07
   220.0000      1.0567723E+08
   223.0000      1.4879573E+08
   227.0000      1.7986795E+08
   230.0000      4.0323722E+09
   234.0000      7.1847360E+08
   240.0000      5.4516608E+08
   246.0000      3.5301073E+10
   252.0000      3.3428296E+10
   257.0000      4.1467023E+10
   260.0000      1.7607877E+10
   264.0000      1.6674529E+10
   269.0000      1.6224677E+10
   274.0000      4.3725857E+10
   279.0000      2.2945681E+10
   284.0000      2.6143580E+10
   290.0000      1.0004960E+10
   296.0000      1.7924225E+10
   301.0000      3.8359536E+10
   308.0000      4.4537033E+10
   318.0000      2.1405374E+10
   328.0000      4.4884632E+10
   338.0000      2.8485595E+10
   348.0000      4.2784604E+10
   357.0000      2.6632315E+10
   366.0000      3.5753189E+10
   375.0000      8.7723346E+09
   385.0000      4.2465976E+10
   395.0000      2.7943999E+10
   405.0000      2.8363813E+10
   414.0000      3.5215262E+10
   422.0000      3.7686100E+10
   430.0000      3.4884461E+10
   441.0000      2.9503451E+10
   451.0000      4.0707248E+10
   460.0000      3.5959742E+10
   470.0000      3.9022457E+10
   480.0000      2.9531073E+10
   490.0000      3.7809971E+10
   500.0000      3.6852306E+10
   506.0000      3.5821212E+10
   512.0000      2.8262093E+10
   520.0000      3.5481334E+10
   530.0000      3.4768962E+10
   540.0000      3.2199811E+10
   550.0000      3.0812244E+10
   560.0000      3.2458164E+10
   570.0000      2.9482514E+10
   580.0000      3.1142361E+10
   590.0000      3.0710903E+10
   600.0000      2.8012597E+10
   610.0000      2.9490649E+10
   620.0000      2.8387486E+10
   630.0000      6.9437841E+10
   640.0000      2.6334546E+10
   650.0000      2.6529100E+10
   658.0000      2.6053122E+10
   665.0000      2.5647507E+10
   675.0000      2.4997575E+10
   685.0000      2.4499087E+10
   695.0000      2.3926045E+10
   705.0000      2.3229954E+10
   716.0000      2.2843365E+10
   726.0000      2.2331466E+10
   735.0000      2.1747438E+10
   745.0000      2.0010303E+10
   755.0000      8.9835469E+09
   765.0000      2.1445403E+10
   775.0000      1.7867815E+10
   785.0000      1.8805586E+10
   795.0000      1.9039050E+10
   805.0000      1.8710876E+10
   815.0000      1.8340479E+10
   825.0000      1.7934397E+10
   835.0000      1.7550348E+10
   845.0000      1.7180463E+10
   855.0000      1.6815487E+10
   865.0000      1.6473529E+10
   875.0000      1.5841010E+10
   885.0000      1.5791158E+10
   895.0000      1.5463846E+10
   905.0000      1.4947086E+10
   915.0000      2.0866855E+10
