Modeles avec overshooting et nouvelles opacites, Z=0.004, 1 X Mdot, Charbonnel e

  21   51

  120.00 WR

 1 4.0003043E+04 119.9888 6.222 4.747 0.744000 0.252000 0.000973 0.000247 0.002107  4.747 -6.119
 2 6.8532600E+05 119.2126 6.260 4.729 0.744000 0.252000 0.000973 0.000247 0.002107  4.729 -5.773
 3 1.0761115E+06 118.3557 6.284 4.716 0.744000 0.252000 0.000973 0.000247 0.002107  4.716 -5.552
 4 1.4188688E+06 117.0544 6.305 4.696 0.744000 0.252000 0.000973 0.000247 0.002107  4.696 -5.304
 5 1.7359193E+06 114.9124 6.324 4.666 0.744000 0.252000 0.000973 0.000247 0.002107  4.666 -5.043
 6 2.0186939E+06 111.4400 6.341 4.620 0.744000 0.252000 0.000973 0.000247 0.002107  4.620 -4.800
 7 2.2824455E+06 106.2802 6.358 4.539 0.744000 0.252000 0.000972 0.000247 0.002107  4.539 -4.658
 8 2.4555500E+06 102.5560 6.372 4.468 0.712394 0.283717 0.000053 0.002856 0.000358  4.468 -4.690
 9 2.6185903E+06  99.5279 6.387 4.380 0.666497 0.329649 0.000057 0.003081 0.000094  4.380 -4.786
10 2.7197875E+06  97.9839 6.399 4.284 0.643311 0.352837 0.000058 0.003099 0.000072  4.284 -4.825
11 2.7872525E+06  96.7901 6.407 4.169 0.621935 0.374214 0.000058 0.003105 0.000064  4.169 -4.625
12 2.8348293E+06  94.9179 6.413 4.085 0.592981 0.403168 0.000058 0.003108 0.000061  4.085 -4.242
13 2.8590463E+06  93.6914 6.428 4.168 0.569696 0.426454 0.000058 0.003108 0.000060  4.168 -4.593
14 2.8600875E+06  93.6707 6.434 4.233 0.569332 0.426818 0.000058 0.003108 0.000060  4.233 -4.745
15 2.8616783E+06  93.6313 6.436 4.115 0.568646 0.427503 0.000058 0.003108 0.000060  4.115 -4.362
16 2.8620645E+06  93.6060 6.435 4.060 0.568303 0.427846 0.000058 0.003108 0.000060  4.060 -4.098
17 2.8622565E+06  93.5782 6.435 4.011 0.567947 0.428202 0.000058 0.003108 0.000060  4.011 -3.695
18 2.8624270E+06  93.5223 6.434 3.962 0.567244 0.428905 0.000058 0.003108 0.000060  3.962 -3.348
19 2.8625688E+06  93.3672 6.434 3.916 0.565519 0.430630 0.000058 0.003108 0.000060  3.916 -2.812
20 2.8633348E+06  89.8355 6.443 3.857 0.506106 0.490044 0.000059 0.003109 0.000059  3.857 -2.154
21 2.8658308E+06  80.4909 6.485 3.915 0.292003 0.704149 0.000067 0.003101 0.000054  3.915 -2.624
22 2.8727173E+06  77.8897 6.491 4.321 0.214323 0.781831 0.000072 0.003095 0.000052  4.430 -4.398
23 2.8826825E+06  77.4911 6.490 4.315 0.214227 0.781926 0.000072 0.003095 0.000052  4.441 -4.398
24 2.8927595E+06  77.0880 6.489 4.314 0.214098 0.782055 0.000072 0.003095 0.000052  4.440 -4.398
25 2.9028363E+06  76.6849 6.488 4.324 0.213883 0.782270 0.000071 0.003096 0.000052  4.437 -4.398
26 2.9137530E+06  76.2482 6.487 4.312 0.213512 0.782642 0.000071 0.003096 0.000052  4.438 -4.398
27 2.9242500E+06  75.8284 6.486 4.325 0.213154 0.782999 0.000070 0.003098 0.000052  4.436 -4.398
28 2.9355865E+06  75.3749 6.485 4.314 0.212061 0.784092 0.000069 0.003101 0.000052  4.441 -4.398
29 2.9473430E+06  74.9046 6.484 4.314 0.211306 0.784846 0.000068 0.003102 0.000052  4.442 -4.398
30 2.9590995E+06  74.4344 6.483 4.312 0.210817 0.785336 0.000067 0.003102 0.000052  4.440 -4.398
31 2.9717755E+06  73.9273 6.482 4.311 0.209883 0.786270 0.000067 0.003103 0.000052  4.439 -4.398
32 2.9849848E+06  73.3989 6.481 4.323 0.208692 0.787460 0.000066 0.003104 0.000052  4.436 -4.398
33 2.9987020E+06  72.8502 6.480 4.316 0.207387 0.788765 0.000066 0.003104 0.000052  4.427 -4.398
34 3.0136945E+06  72.2505 6.480 4.302 0.205898 0.790254 0.000066 0.003105 0.000052  4.402 -4.398
35 3.0290630E+06  71.6358 6.479 4.279 0.204245 0.791907 0.000064 0.003107 0.000052  4.366 -4.398
36 3.0458390E+06  70.9647 6.479 4.254 0.202022 0.794129 0.000063 0.003109 0.000052  4.328 -4.398
37 3.0646433E+06  70.2125 6.479 4.216 0.200274 0.795876 0.000058 0.003114 0.000052  4.272 -4.398
38 3.0833208E+06  69.4654 6.479 4.172 0.198976 0.797173 0.000050 0.003127 0.000053  4.208 -4.398
39 3.1056135E+06  68.5737 6.481 4.048 0.197630 0.798517 0.000039 0.003144 0.000053  4.048 -4.398
40 3.1311220E+06  65.7285 6.488 4.274 0.161510 0.834638 0.000045 0.003131 0.000056  4.346 -4.398
41 3.1405708E+06  65.3505 6.493 4.321 0.129232 0.866916 0.000048 0.003129 0.000055  4.468 -4.398
42 3.1493638E+06  64.9988 6.496 4.388 0.122523 0.873625 0.000048 0.003128 0.000055  4.539 -4.398
43 3.1542715E+06  64.8025 6.510 4.586 0.069950 0.926200 0.000056 0.003119 0.000053  4.882 -4.398
44 3.1559580E+06  61.2725 6.510 4.143 0.000000 0.000596 0.039103 0.000000 0.848791  5.142 -2.528
45 3.1664408E+06  42.0337 6.349 4.291 0.000000 0.000000 0.038981 0.000000 0.847126  5.211 -2.940
46 3.1668370E+06  41.5856 6.349 4.324 0.000000 0.000000 0.038981 0.000000 0.847126  5.358 -2.953
47 3.1668373E+06  41.5851 6.354 4.325 0.000000 0.000000 0.038981 0.000000 0.847126  5.357 -2.953
48 3.1668375E+06  41.5848 6.360 4.325 0.000000 0.000000 0.038981 0.000000 0.847126  5.353 -2.953
49 3.1668378E+06  41.5847 6.364 4.323 0.000000 0.000000 0.038981 0.000000 0.847126  5.336 -2.953
50 3.1668378E+06  41.5846 6.368 4.321 0.000000 0.000000 0.038981 0.000000 0.847126  5.316 -2.953
51 3.1668378E+06  41.5845 6.378 4.315 0.000000 0.000000 0.038981 0.000000 0.847126  5.270 -2.953

   85.00 WR

 1 2.4401855E+04  84.9989 5.970 4.729 0.744000 0.252000 0.000973 0.000247 0.002107  4.729 -6.688
 2 8.2156063E+05  84.7298 6.018 4.711 0.744000 0.252000 0.000973 0.000247 0.002107  4.711 -6.329
 3 1.2661213E+06  84.4628 6.048 4.700 0.744000 0.252000 0.000973 0.000247 0.002107  4.700 -6.124
 4 1.6692908E+06  84.0702 6.075 4.685 0.744000 0.252000 0.000973 0.000247 0.002107  4.685 -5.908
 5 2.0289604E+06  83.4638 6.101 4.661 0.744000 0.252000 0.000973 0.000247 0.002107  4.661 -5.650
 6 2.3469338E+06  82.4842 6.124 4.629 0.744000 0.252000 0.000973 0.000247 0.002107  4.629 -5.396
 7 2.6346568E+06  80.9269 6.145 4.581 0.744000 0.252000 0.000973 0.000247 0.002107  4.581 -5.162
 8 2.8295660E+06  79.3420 6.161 4.522 0.744000 0.252000 0.000973 0.000247 0.002107  4.522 -5.037
 9 3.0058195E+06  77.6413 6.177 4.420 0.744000 0.252000 0.000973 0.000247 0.002107  4.420 -5.019
10 3.1185883E+06  76.6108 6.188 4.305 0.744000 0.252000 0.000973 0.000247 0.002107  4.305 -5.050
11 3.2532795E+06  71.0896 6.200 3.862 0.733069 0.262946 0.000663 0.000966 0.001699  3.862 -3.228
12 3.2648585E+06  66.1647 6.203 3.920 0.651407 0.344714 0.000084 0.002868 0.000302  3.920 -3.637
13 3.2718853E+06  65.0217 6.216 3.974 0.636527 0.359603 0.000074 0.002945 0.000226  3.974 -3.994
14 3.2728708E+06  64.9181 6.223 3.961 0.636509 0.359621 0.000074 0.002946 0.000226  3.961 -3.896
15 3.2730820E+06  64.8825 6.224 3.940 0.636507 0.359622 0.000074 0.002946 0.000226  3.940 -3.728
16 3.2733353E+06  64.8183 6.225 3.912 0.636507 0.359622 0.000074 0.002946 0.000226  3.912 -3.515
17 3.2735760E+06  64.7220 6.225 3.891 0.636507 0.359622 0.000074 0.002946 0.000226  3.891 -3.368
18 3.2740423E+06  64.4500 6.224 3.867 0.636507 0.359622 0.000074 0.002946 0.000226  3.867 -3.172
19 3.2759060E+06  63.4650 6.224 3.843 0.588653 0.407495 0.000053 0.003112 0.000063  3.843 -2.986
20 3.2785840E+06  57.7781 6.275 3.814 0.451564 0.544584 0.000051 0.003118 0.000060  3.814 -2.497
21 3.2812870E+06  53.5945 6.303 3.972 0.251193 0.744958 0.000060 0.003109 0.000055  3.972 -3.337
22 3.2875605E+06  53.2673 6.303 4.090 0.244044 0.752107 0.000061 0.003108 0.000055  4.090 -4.398
23 3.2986315E+06  52.8244 6.306 4.348 0.200211 0.795942 0.000068 0.003099 0.000054  4.513 -4.398
24 3.3099795E+06  52.3705 6.305 4.352 0.192331 0.803822 0.000070 0.003097 0.000054  4.561 -4.398
25 3.3215938E+06  51.9059 6.303 4.365 0.191053 0.805100 0.000070 0.003097 0.000054  4.582 -4.398
26 3.3336380E+06  51.4241 6.301 4.375 0.190567 0.805586 0.000069 0.003098 0.000053  4.597 -4.398
27 3.3457255E+06  50.9406 6.299 4.384 0.190249 0.805904 0.000069 0.003099 0.000053  4.613 -4.398
28 3.3581228E+06  50.4447 6.296 4.397 0.190057 0.806095 0.000068 0.003101 0.000053  4.634 -4.398
29 3.3711350E+06  49.9242 6.293 4.419 0.189863 0.806289 0.000065 0.003104 0.000053  4.670 -4.398
30 3.3846678E+06  49.3829 6.289 4.453 0.186056 0.810095 0.000060 0.003111 0.000053  4.726 -4.398
31 3.3987210E+06  48.8208 6.284 4.481 0.184649 0.811500 0.000050 0.003125 0.000054  4.774 -4.398
32 3.4143355E+06  48.1962 6.278 4.511 0.183496 0.812651 0.000038 0.003144 0.000054  4.825 -4.398
33 3.4304708E+06  47.5507 6.272 4.531 0.182120 0.814027 0.000040 0.003140 0.000055  4.860 -4.398
34 3.4467935E+06  46.8978 6.267 4.547 0.178025 0.818123 0.000043 0.003134 0.000056  4.888 -4.398
35 3.4658093E+06  46.1372 6.267 4.595 0.144726 0.851423 0.000050 0.003124 0.000057  4.968 -4.398
36 3.4827848E+06  45.4582 6.272 4.668 0.031452 0.964700 0.000063 0.003110 0.000051  5.081 -4.398
37 3.5004130E+06  44.7530 6.267 4.746 0.000000 0.238792 0.348601 0.000001 0.406961  5.177 -4.398
38 3.5198500E+06  43.9755 6.263 4.746 0.000000 0.238792 0.348601 0.000001 0.406961  5.179 -4.398
39 3.5435505E+06  42.0979 6.243 4.243 0.000000 0.237042 0.370630 0.000000 0.386729  5.181 -2.915
40 3.5719670E+06  24.9639 5.946 4.415 0.000000 0.070037 0.195436 0.000000 0.727679  5.187 -3.493
41 3.5856558E+06  21.4071 5.859 4.463 0.000000 0.054706 0.167880 0.000000 0.770033  5.193 -3.667
42 3.5998043E+06  18.8370 5.790 4.505 0.000000 0.040173 0.139121 0.000000 0.812278  5.207 -3.810
43 3.6072015E+06  17.7764 5.777 4.536 0.000000 0.033182 0.124232 0.000000 0.833211  5.237 -3.875
44 3.6100308E+06  17.4088 5.818 4.570 0.000000 0.030492 0.118328 0.000000 0.841298  5.290 -3.897
45 3.6119503E+06  17.1702 5.844 4.592 0.000000 0.028781 0.114523 0.000000 0.846433  5.327 -3.913
46 3.6124360E+06  17.1111 5.882 4.610 0.000000 0.028352 0.113563 0.000000 0.847717  5.359 -3.917
47 3.6124408E+06  17.1105 5.895 4.613 0.000000 0.028347 0.113553 0.000000 0.847730  5.362 -3.917
48 3.6124415E+06  17.1104 5.900 4.614 0.000000 0.028347 0.113551 0.000000 0.847732  5.363 -3.917
49 3.6124420E+06  17.1104 5.904 4.615 0.000000 0.028346 0.113551 0.000000 0.847733  5.364 -3.917
50 3.6124423E+06  17.1103 5.909 4.617 0.000000 0.028346 0.113550 0.000000 0.847734  5.366 -3.917
51 3.6124428E+06  17.1103 5.923 4.619 0.000000 0.028346 0.113549 0.000000 0.847735  5.368 -3.917

   60.00 WR

 1 2.5001900E+04  59.9994 5.693 4.703 0.744000 0.252000 0.000973 0.000247 0.002107  4.703 -7.060
 2 9.9825163E+05  59.8692 5.750 4.687 0.744000 0.252000 0.000973 0.000247 0.002107  4.687 -6.756
 3 1.5381726E+06  59.7541 5.784 4.677 0.744000 0.252000 0.000973 0.000247 0.002107  4.677 -6.586
 4 2.0210748E+06  59.5968 5.817 4.664 0.744000 0.252000 0.000973 0.000247 0.002107  4.664 -6.394
 5 2.4431805E+06  59.3787 5.848 4.647 0.744000 0.252000 0.000973 0.000247 0.002107  4.647 -6.183
 6 2.8243018E+06  59.0463 5.878 4.621 0.744000 0.252000 0.000973 0.000247 0.002107  4.621 -5.948
 7 3.1519658E+06  58.5602 5.905 4.587 0.744000 0.252000 0.000973 0.000247 0.002107  4.587 -5.722
 8 3.3758605E+06  58.0443 5.925 4.551 0.744000 0.252000 0.000973 0.000247 0.002107  4.551 -5.558
 9 3.5798515E+06  57.3745 5.943 4.495 0.744000 0.252000 0.000973 0.000247 0.002107  4.495 -5.422
10 3.7048783E+06  56.8626 5.956 4.445 0.744000 0.252000 0.000973 0.000247 0.002107  4.445 -5.363
11 3.8621470E+06  56.1441 5.976 4.367 0.744000 0.252000 0.000973 0.000247 0.002107  4.367 -5.321
12 3.8754175E+06  56.0802 5.985 4.388 0.744000 0.252000 0.000973 0.000247 0.002107  4.388 -5.308
13 3.8765640E+06  56.0744 5.993 4.408 0.744000 0.252000 0.000973 0.000247 0.002107  4.408 -5.296
14 3.8775470E+06  56.0694 5.999 4.428 0.744000 0.252000 0.000973 0.000247 0.002107  4.428 -5.288
15 3.8807730E+06  56.0526 6.010 4.298 0.744000 0.252000 0.000973 0.000247 0.002107  4.298 -5.265
16 3.8816795E+06  56.0472 6.013 4.205 0.744000 0.252000 0.000973 0.000247 0.002107  4.205 -5.179
17 3.8823303E+06  56.0419 6.014 4.110 0.744000 0.252000 0.000973 0.000247 0.002107  4.110 -4.970
18 3.8827740E+06  56.0346 6.016 4.012 0.744000 0.252000 0.000973 0.000247 0.002107  4.012 -4.612
19 3.8830795E+06  56.0216 6.016 3.919 0.744000 0.252000 0.000973 0.000247 0.002107  3.919 -4.163
20 3.8843388E+06  55.7878 6.020 3.823 0.744000 0.252000 0.000973 0.000247 0.002107  3.823 -3.614
21 3.8866233E+06  55.0148 6.042 3.796 0.743439 0.252561 0.000966 0.000264 0.002098  3.796 -3.371
22 3.8942343E+06  51.3735 6.054 3.796 0.728889 0.267121 0.000852 0.000555 0.001915  3.796 -3.327
23 3.9070163E+06  46.0812 6.053 3.813 0.568588 0.427511 0.000137 0.002611 0.000524  3.813 -3.433
24 3.9202470E+06  42.9907 6.049 3.928 0.473782 0.522333 0.000095 0.002801 0.000361  3.928 -4.124
25 3.9337745E+06  42.4237 6.048 4.024 0.461285 0.534833 0.000092 0.002821 0.000344  4.024 -4.599
26 3.9499873E+06  42.1127 6.048 4.053 0.454509 0.541609 0.000090 0.002831 0.000334  4.053 -4.720
27 3.9607813E+06  41.9087 6.047 4.057 0.452215 0.543904 0.000089 0.002835 0.000331  4.057 -4.738
28 3.9755520E+06  41.6480 6.047 4.063 0.449657 0.546462 0.000088 0.002839 0.000327  4.063 -4.758
29 3.9891865E+06  41.4596 6.047 4.132 0.434166 0.561956 0.000084 0.002863 0.000306  4.132 -4.982
30 4.0045253E+06  41.3047 6.048 4.141 0.426603 0.569520 0.000081 0.002874 0.000295  4.141 -5.005
31 4.0192960E+06  41.1545 6.048 4.130 0.425874 0.570249 0.000081 0.002875 0.000294  4.130 -4.976
32 4.0357710E+06  40.9630 6.048 4.103 0.425561 0.570562 0.000081 0.002876 0.000294  4.103 -4.896
33 4.0528140E+06  40.7688 6.048 4.126 0.416120 0.580005 0.000078 0.002890 0.000281  4.126 -4.965
34 4.0701130E+06  40.5757 6.048 4.116 0.410838 0.585288 0.000077 0.002899 0.000274  4.116 -4.937
35 4.0893603E+06  40.3483 6.049 4.109 0.403724 0.592402 0.000075 0.002910 0.000264  4.109 -4.919
36 4.1092950E+06  40.0601 6.049 4.062 0.403280 0.592846 0.000074 0.002910 0.000263  4.062 -4.754
37 4.1307170E+06  39.4614 6.047 4.055 0.376407 0.619724 0.000066 0.002953 0.000225  4.131 -4.398
38 4.1551723E+06  38.4899 6.044 4.017 0.371592 0.624540 0.000064 0.002967 0.000213  4.017 -4.584
39 4.1869205E+06  36.2028 6.033 3.901 0.351845 0.644300 0.000064 0.003060 0.000107  3.901 -4.002
40 4.2227460E+06  30.6441 6.023 3.837 0.337747 0.658399 0.000051 0.003103 0.000080  3.837 -3.674
41 4.2337800E+06  28.7619 6.033 3.877 0.320420 0.675726 0.000042 0.003126 0.000067  3.877 -4.398
42 4.2452915E+06  28.0679 6.030 4.409 0.000000 0.996155 0.000078 0.003093 0.000045  5.138 -3.598
43 4.2520965E+06  26.4814 6.014 4.431 0.000000 0.996158 0.000088 0.003080 0.000042  5.144 -3.664
44 4.2545330E+06  25.9204 6.045 4.452 0.000000 0.086952 0.183929 0.000047 0.722329  5.292 -3.464
45 4.2562960E+06  25.3333 6.061 4.469 0.000000 0.072983 0.186754 0.000001 0.733427  5.315 -3.490
46 4.2567450E+06  25.1893 6.096 4.485 0.000000 0.071125 0.183806 0.000000 0.738165  5.343 -3.497
47 4.2567465E+06  25.1887 6.103 4.487 0.000000 0.071106 0.183776 0.000000 0.738213  5.345 -3.497
48 4.2567470E+06  25.1886 6.109 4.488 0.000000 0.071100 0.183766 0.000000 0.738229  5.347 -3.497
49 4.2567475E+06  25.1885 6.112 4.489 0.000000 0.071098 0.183763 0.000000 0.738234  5.347 -3.497
50 4.2567475E+06  25.1884 6.115 4.491 0.000000 0.071096 0.183760 0.000000 0.738239  5.348 -3.497
51 4.2567480E+06  25.1884 6.129 4.487 0.000000 0.071093 0.183755 0.000000 0.738247  5.326 -3.497

   40.00 WR

 1 4.0003043E+04  39.9993 5.335 4.662 0.744000 0.252000 0.000973 0.000247 0.002107  4.662 -7.308
 2 1.3410446E+06  39.9132 5.401 4.648 0.744000 0.252000 0.000973 0.000247 0.002107  4.648 -7.092
 3 2.0677838E+06  39.8452 5.442 4.641 0.744000 0.252000 0.000973 0.000247 0.002107  4.641 -6.967
 4 2.6798290E+06  39.7669 5.479 4.630 0.744000 0.252000 0.000973 0.000247 0.002107  4.630 -6.823
 5 3.2222835E+06  39.6690 5.516 4.615 0.744000 0.252000 0.000973 0.000247 0.002107  4.615 -6.665
 6 3.7099635E+06  39.5382 5.551 4.594 0.744000 0.252000 0.000973 0.000247 0.002107  4.594 -6.479
 7 4.1160465E+06  39.3716 5.584 4.568 0.744000 0.252000 0.000973 0.000247 0.002107  4.568 -6.300
 8 4.3954515E+06  39.2052 5.608 4.541 0.744000 0.252000 0.000973 0.000247 0.002107  4.541 -6.155
 9 4.6394975E+06  39.0042 5.631 4.507 0.744000 0.252000 0.000973 0.000247 0.002107  4.507 -6.020
10 4.7877750E+06  38.8477 5.646 4.480 0.744000 0.252000 0.000973 0.000247 0.002107  4.480 -5.940
11 4.9479925E+06  38.6450 5.664 4.450 0.744000 0.252000 0.000973 0.000247 0.002107  4.450 -5.864
12 4.9944755E+06  38.5810 5.680 4.472 0.744000 0.252000 0.000973 0.000247 0.002107  4.472 -5.868
13 4.9970130E+06  38.5775 5.694 4.493 0.744000 0.252000 0.000973 0.000247 0.002107  4.493 -5.876
14 4.9981755E+06  38.5760 5.701 4.504 0.744000 0.252000 0.000973 0.000247 0.002107  4.504 -5.885
15 5.0018935E+06  38.5705 5.723 4.421 0.744000 0.252000 0.000973 0.000247 0.002107  4.421 -5.734
16 5.0031655E+06  38.5679 5.734 4.359 0.744000 0.252000 0.000973 0.000247 0.002107  4.359 -5.679
17 5.0042790E+06  38.5655 5.741 4.294 0.744000 0.252000 0.000973 0.000247 0.002107  4.294 -5.632
18 5.0052170E+06  38.5631 5.747 4.232 0.744000 0.252000 0.000973 0.000247 0.002107  4.232 -5.567
19 5.0061255E+06  38.5604 5.753 4.169 0.744000 0.252000 0.000973 0.000247 0.002107  4.169 -5.471
20 5.0070915E+06  38.5565 5.760 4.105 0.744000 0.252000 0.000973 0.000247 0.002107  4.105 -5.333
21 5.0107625E+06  38.5214 5.772 3.952 0.744000 0.252000 0.000973 0.000247 0.002107  3.952 -4.849
22 5.0205700E+06  38.3516 5.774 3.916 0.744000 0.252000 0.000973 0.000247 0.002107  3.916 -4.717
23 5.0372445E+06  37.9732 5.773 3.877 0.744000 0.252000 0.000973 0.000247 0.002107  3.877 -4.578
