Modeles avec overshooting et nouvelles opacites, Z=0.040, 1 X Mdot, Schaerer et 

  21   51

  120.00 WR

 1 4.0003043E+04 119.3036 6.275 4.683 0.620000 0.340000 0.009730 0.002474 0.021073  4.683 -4.803
 2 3.0002281E+05 114.7688 6.271 4.666 0.620000 0.340000 0.009730 0.002474 0.021073  4.666 -4.702
 3 5.9004488E+05 109.2054 6.269 4.652 0.620000 0.340000 0.009730 0.002474 0.021073  4.652 -4.627
 4 8.7006619E+05 102.0705 6.263 4.641 0.580685 0.378458 0.000305 0.018275 0.015707  4.641 -4.584
 5 1.1323861E+06  95.1579 6.259 4.636 0.524445 0.435281 0.000369 0.022168 0.011153  4.636 -4.578
 6 1.4564108E+06  86.2706 6.256 4.628 0.445882 0.514314 0.000423 0.025309 0.007473  4.628 -4.545
 7 1.7464128E+06  77.6021 6.252 4.374 0.359087 0.601419 0.000464 0.027360 0.005061  4.621 -4.398
 8 1.9505483E+06  69.4365 6.241 4.390 0.269440 0.691267 0.000498 0.028668 0.003509  4.639 -4.398
 9 2.1473933E+06  61.5626 6.228 4.399 0.179965 0.780873 0.000530 0.029500 0.002505  4.647 -4.398
10 2.2655003E+06  56.8382 6.218 4.401 0.129124 0.831770 0.000550 0.029832 0.002091  4.645 -4.398
11 2.3528995E+06  53.3422 6.210 4.407 0.091494 0.869436 0.000568 0.030027 0.001838  4.652 -4.398
12 2.4307183E+06  50.2294 6.210 4.446 0.058467 0.902491 0.000591 0.030163 0.001643  4.711 -4.398
13 2.4335115E+06  50.1176 6.230 4.494 0.057348 0.903611 0.000592 0.030167 0.001637  4.786 -4.398
14 2.4350795E+06  50.0549 6.265 4.564 0.056736 0.904224 0.000592 0.030170 0.001633  4.896 -4.398
15 2.4354063E+06  50.0418 6.269 4.551 0.056611 0.904349 0.000592 0.030170 0.001633  4.872 -4.398
16 2.4360138E+06  50.0175 6.292 4.467 0.056378 0.904581 0.000592 0.030171 0.001631  4.727 -4.398
17 2.4360975E+06  50.0142 6.295 4.444 0.056347 0.904613 0.000593 0.030171 0.001631  4.689 -4.398
18 2.4361810E+06  50.0108 6.298 4.381 0.056315 0.904645 0.000593 0.030171 0.001631  4.588 -4.398
19 2.4362145E+06  50.0095 6.300 4.371 0.056303 0.904657 0.000593 0.030171 0.001631  4.572 -4.398
20 2.4365143E+06  49.9975 6.309 4.333 0.056191 0.904769 0.000593 0.030172 0.001630  4.481 -4.398
21 2.4371770E+06  49.9710 6.322 4.316 0.055929 0.905032 0.000593 0.030173 0.001629  4.450 -4.398
22 2.4414350E+06  49.8007 6.341 4.315 0.054204 0.906758 0.000594 0.030179 0.001619  4.404 -4.398
23 2.4586630E+06  49.1115 6.298 4.564 0.047158 0.913788 0.000483 0.030373 0.001582  4.886 -4.398
24 2.4700755E+06  48.6550 6.272 4.590 0.038344 0.922605 0.000477 0.030423 0.001539  4.934 -4.398
25 2.4816318E+06  48.1928 6.268 4.609 0.017495 0.943471 0.000496 0.030483 0.001437  4.958 -4.398
26 2.5000305E+06  46.2133 6.248 4.177 0.000000 0.961034 0.000776 0.030171 0.001319  4.914 -3.030
27 2.5086943E+06  37.1078 6.114 4.247 0.000000 0.715904 0.206221 0.000000 0.024079  5.137 -3.069
28 2.5265890E+06  27.0145 5.919 4.345 0.000000 0.679711 0.234166 0.000000 0.032302  5.144 -3.417
29 2.5447385E+06  21.7318 5.782 4.404 0.000000 0.643570 0.261352 0.000000 0.041233  5.140 -3.650
30 2.5628140E+06  18.4653 5.677 4.447 0.000000 0.608534 0.286711 0.000000 0.050889  5.136 -3.828
31 2.5822283E+06  16.0634 5.585 4.482 0.000000 0.573259 0.311091 0.000000 0.061762  5.132 -3.981
32 2.6032495E+06  14.1927 5.503 4.511 0.000000 0.537008 0.334766 0.000000 0.074316  5.128 -4.115
33 2.6251208E+06  12.7366 5.430 4.537 0.000000 0.501958 0.356160 0.000000 0.087950  5.125 -4.233
34 2.6493573E+06  11.4964 5.361 4.559 0.000000 0.465701 0.376532 0.000000 0.103810  5.120 -4.344
35 2.6748415E+06  10.4756 5.298 4.579 0.000000 0.428924 0.395109 0.000000 0.121982  5.117 -4.446
36 2.7023153E+06   9.5974 5.239 4.597 0.000000 0.394318 0.410392 0.000000 0.141277  5.114 -4.541
37 2.7319650E+06   8.8319 5.183 4.615 0.000000 0.359851 0.423169 0.000000 0.162935  5.112 -4.631
38 2.7666435E+06   8.1069 5.126 4.632 0.000000 0.321172 0.434121 0.000000 0.190620  5.110 -4.724
39 2.8043853E+06   7.4673 5.073 4.651 0.000000 0.285778 0.440427 0.000000 0.219664  5.112 -4.814
40 2.8495320E+06   6.8476 5.020 4.673 0.000000 0.244984 0.442304 0.000000 0.258518  5.117 -4.908
41 2.8717058E+06   6.5873 4.999 4.684 0.000000 0.225318 0.440771 0.000000 0.279679  5.123 -4.949
42 2.8936198E+06   6.3535 4.985 4.701 0.000000 0.208321 0.437944 0.000000 0.299467  5.136 -4.991
43 2.9066280E+06   6.2244 5.020 4.736 0.000000 0.198700 0.435673 0.000000 0.311336  5.181 -5.015
44 2.9124645E+06   6.1686 5.100 4.790 0.000000 0.193166 0.434101 0.000000 0.318429  5.256 -5.024
45 2.9180200E+06   6.1166 5.194 4.800 0.000000 0.188405 0.432641 0.000000 0.324637  5.242 -5.033
46 2.9193208E+06   6.1046 5.229 4.800 0.000000 0.187409 0.432317 0.000000 0.325955  5.232 -5.036
47 2.9196645E+06   6.1015 5.241 4.801 0.000000 0.187161 0.432236 0.000000 0.326283  5.229 -5.036
48 2.9197073E+06   6.1011 5.243 4.801 0.000000 0.187131 0.432226 0.000000 0.326323  5.229 -5.036
49 2.9197338E+06   6.1008 5.244 4.801 0.000000 0.187112 0.432220 0.000000 0.326348  5.228 -5.037
50 2.9197765E+06   6.1004 5.245 4.801 0.000000 0.187082 0.432210 0.000000 0.326388  5.228 -5.037
51 2.9198643E+06   6.0996 5.253 4.803 0.000000 0.187020 0.432190 0.000000 0.326470  5.230 -5.037

   85.00 WR

 1 1.8126379E+04  84.9963 6.032 4.685 0.620000 0.340000 0.009730 0.002474 0.021073  4.685 -5.530
 2 3.5583828E+05  83.7887 6.046 4.671 0.620000 0.340000 0.009730 0.002474 0.021073  4.671 -5.371
 3 6.9647325E+05  82.0227 6.060 4.654 0.620000 0.340000 0.009730 0.002474 0.021073  4.654 -5.209
 4 9.9165106E+05  79.8324 6.071 4.634 0.620000 0.340000 0.009730 0.002474 0.021073  4.634 -5.059
 5 1.2770798E+06  76.8271 6.079 4.607 0.620000 0.340000 0.009730 0.002474 0.021073  4.607 -4.906
 6 1.6235901E+06  71.3444 6.086 4.553 0.607413 0.351282 0.000249 0.015296 0.019204  4.553 -4.733
 7 1.9318530E+06  65.2199 6.093 4.528 0.524221 0.435478 0.000355 0.022028 0.011336  4.528 -4.674
 8 2.1476370E+06  60.4554 6.099 4.502 0.448734 0.511420 0.000406 0.025063 0.007782  4.502 -4.642
 9 2.3409950E+06  54.8043 6.101 4.293 0.351592 0.608909 0.000452 0.027357 0.005084  4.500 -4.398
10 2.4658415E+06  49.8104 6.095 4.309 0.262438 0.698259 0.000486 0.028637 0.003565  4.539 -4.398
11 2.5594763E+06  46.0649 6.091 4.337 0.193630 0.767173 0.000511 0.029305 0.002760  4.576 -4.398
12 2.5719610E+06  45.5655 6.090 4.342 0.184050 0.776766 0.000515 0.029381 0.002666  4.583 -4.398
13 2.6513633E+06  42.3894 6.127 4.470 0.121375 0.839512 0.000541 0.029803 0.002139  4.778 -4.398
14 2.6533608E+06  42.3095 6.176 4.357 0.119853 0.841035 0.000542 0.029812 0.002128  4.582 -4.398
15 2.6558578E+06  42.2096 6.225 4.093 0.118064 0.842826 0.000543 0.029822 0.002115  4.093 -4.398
16 2.6583548E+06  42.1097 6.240 4.065 0.116546 0.844345 0.000544 0.029831 0.002104  4.065 -4.398
17 2.6633485E+06  41.9099 6.254 3.976 0.114401 0.846493 0.000545 0.029843 0.002088  3.976 -4.398
18 2.6661100E+06  41.7995 6.256 3.986 0.113861 0.847033 0.000545 0.029846 0.002084  3.986 -4.398
19 2.6685570E+06  41.7016 6.255 4.009 0.113468 0.847427 0.000545 0.029848 0.002082  4.009 -4.398
20 2.6710040E+06  41.6037 6.255 4.043 0.110753 0.850144 0.000546 0.029863 0.002062  4.043 -4.398
21 2.6717578E+06  41.5736 6.254 4.050 0.110753 0.850144 0.000546 0.029863 0.002062  4.050 -4.398
22 2.6723573E+06  41.5496 6.254 4.053 0.110753 0.850144 0.000546 0.029863 0.002062  4.053 -4.398
23 2.6777925E+06  41.3322 6.249 4.097 0.104620 0.856283 0.000548 0.029897 0.002020  4.097 -4.398
24 2.6904325E+06  40.8266 6.216 4.311 0.095362 0.865544 0.000520 0.029986 0.001957  4.458 -4.398
25 2.7033343E+06  40.3105 6.174 4.586 0.057924 0.902997 0.000451 0.030296 0.001730  4.958 -4.398
26 2.7163018E+06  39.7918 6.157 4.610 0.038704 0.922234 0.000475 0.030348 0.001629  4.999 -4.398
27 2.7321690E+06  38.8887 6.147 4.262 0.000005 0.961007 0.000696 0.030236 0.001377  5.002 -3.239
28 2.7456775E+06  30.7336 6.002 4.308 0.000000 0.672599 0.240877 0.000000 0.032594  5.148 -3.272
29 2.7631888E+06  23.9734 5.847 4.380 0.000000 0.637323 0.266699 0.000000 0.042022  5.144 -3.544
30 2.7817005E+06  19.8422 5.726 4.431 0.000000 0.601909 0.291736 0.000000 0.052376  5.139 -3.751
31 2.8007128E+06  17.0693 5.628 4.470 0.000000 0.565715 0.316157 0.000000 0.064125  5.135 -3.916
32 2.8215410E+06  14.9366 5.540 4.502 0.000000 0.529049 0.339480 0.000000 0.077442  5.132 -4.059
33 2.8426795E+06  13.3454 5.465 4.528 0.000000 0.493648 0.360452 0.000000 0.091848  5.128 -4.182
34 2.8663545E+06  11.9921 5.393 4.552 0.000000 0.456071 0.380789 0.000000 0.109059  5.124 -4.299
35 2.8917038E+06  10.8710 5.327 4.573 0.000000 0.420401 0.398006 0.000000 0.127482  5.120 -4.405
36 2.9183045E+06   9.9406 5.266 4.592 0.000000 0.386109 0.412348 0.000000 0.147401  5.117 -4.503
37 2.9476878E+06   9.1162 5.208 4.610 0.000000 0.352191 0.424092 0.000000 0.169543  5.115 -4.597
38 2.9813600E+06   8.3557 5.151 4.629 0.000000 0.314755 0.433750 0.000000 0.197277  5.114 -4.691
39 3.0186720E+06   7.6758 5.096 4.648 0.000000 0.276087 0.439374 0.000000 0.230268  5.115 -4.784
40 3.0636098E+06   7.0178 5.041 4.671 0.000000 0.235220 0.439469 0.000000 0.270970  5.120 -4.881
41 3.0842810E+06   6.7594 5.020 4.682 0.000000 0.218737 0.437471 0.000000 0.289416  5.126 -4.921
42 3.1053325E+06   6.5197 5.005 4.698 0.000000 0.202717 0.434219 0.000000 0.308650  5.137 -4.963
43 3.1198510E+06   6.3666 5.040 4.735 0.000000 0.192025 0.431266 0.000000 0.322268  5.184 -4.990
44 3.1223780E+06   6.3409 5.086 4.762 0.000000 0.189872 0.430568 0.000000 0.325112  5.221 -4.994
45 3.1271265E+06   6.2933 5.131 4.792 0.000000 0.185913 0.429268 0.000000 0.330360  5.263 -5.002
46 3.1319098E+06   6.2462 5.236 4.798 0.000000 0.181973 0.427847 0.000000 0.335710  5.238 -5.011
47 3.1324765E+06   6.2407 5.256 4.798 0.000000 0.181521 0.427684 0.000000 0.336323  5.233 -5.012
48 3.1325315E+06   6.2401 5.256 4.797 0.000000 0.181478 0.427669 0.000000 0.336382  5.230 -5.012
49 3.1325590E+06   6.2399 5.258 4.797 0.000000 0.181456 0.427661 0.000000 0.336411  5.230 -5.012
50 3.1325735E+06   6.2397 5.260 4.799 0.000000 0.181445 0.427657 0.000000 0.336427  5.232 -5.012
51 3.1325930E+06   6.2395 5.267 4.803 0.000000 0.181430 0.427651 0.000000 0.336448  5.239 -5.012

   60.00 WR

 1 2.7502092E+04  59.9452 5.762 4.666 0.620000 0.340000 0.009730 0.002474 0.021073  4.666 -6.039
 2 4.2952459E+05  59.5003 5.784 4.653 0.620000 0.340000 0.009730 0.002474 0.021073  4.653 -5.884
 3 8.3750894E+05  58.8576 5.807 4.640 0.620000 0.340000 0.009730 0.002474 0.021073  4.640 -5.731
 4 1.1894573E+06  58.0832 5.827 4.625 0.620000 0.340000 0.009730 0.002474 0.021073  4.625 -5.590
 5 1.5222304E+06  57.0550 5.845 4.605 0.620000 0.340000 0.009730 0.002474 0.021073  4.605 -5.435
 6 1.9154418E+06  55.1707 5.866 4.563 0.620000 0.340000 0.009730 0.002474 0.021073  4.563 -5.218
 7 2.2595015E+06  52.5375 5.883 4.495 0.620000 0.340000 0.009729 0.002474 0.021073  4.495 -5.034
 8 2.4930690E+06  50.1113 5.896 4.405 0.619999 0.340001 0.009728 0.002474 0.021073  4.405 -4.947
 9 2.7080573E+06  47.4603 5.910 4.218 0.618935 0.340111 0.003332 0.009031 0.021061  4.218 -4.832
10 2.8445150E+06  44.5008 5.919 4.097 0.569396 0.389843 0.000292 0.019023 0.014957  4.097 -4.584
11 2.8715538E+06  43.8006 5.921 4.095 0.549806 0.409639 0.000313 0.020404 0.013344  4.095 -4.590
12 3.0141590E+06  40.0728 5.937 4.128 0.441236 0.518916 0.000388 0.025135 0.007813  4.128 -4.627
13 3.0261513E+06  39.8071 5.962 4.161 0.432740 0.527449 0.000392 0.025382 0.007524  4.161 -4.668
14 3.0270195E+06  39.7878 5.978 4.146 0.432123 0.528069 0.000392 0.025400 0.007503  4.146 -4.622
15 3.0274590E+06  39.7753 5.981 4.100 0.431722 0.528472 0.000393 0.025411 0.007490  4.100 -4.488
16 3.0278265E+06  39.7609 5.982 4.050 0.431269 0.528927 0.000393 0.025424 0.007475  4.050 -4.322
17 3.0281293E+06  39.7428 5.981 4.001 0.430728 0.529470 0.000393 0.025439 0.007457  4.001 -4.133
18 3.0283240E+06  39.7244 5.981 3.940 0.430220 0.529980 0.000393 0.025453 0.007440  3.940 -3.856
19 3.0284970E+06  39.6919 5.981 3.893 0.429352 0.530851 0.000394 0.025478 0.007412  3.893 -3.660
20 3.0297388E+06  39.2301 5.996 3.846 0.416449 0.543806 0.000400 0.025823 0.007007  3.846 -3.321
21 3.0320870E+06  37.5810 6.047 3.829 0.368831 0.591585 0.000421 0.026888 0.005756  3.829 -3.051
22 3.0376380E+06  33.0240 6.072 3.941 0.154119 0.806710 0.000533 0.029464 0.002626  3.941 -3.638
23 3.0574235E+06  30.1448 6.051 4.046 0.150907 0.809922 0.000514 0.029519 0.002595  4.046 -4.398
24 3.0712048E+06  29.5936 6.029 4.219 0.150449 0.810378 0.000499 0.029541 0.002591  4.342 -4.398
25 3.0853795E+06  29.0266 5.981 4.507 0.149635 0.811171 0.000382 0.029721 0.002586  4.880 -4.398
26 3.0999485E+06  28.4438 5.945 4.572 0.109128 0.851730 0.000434 0.029941 0.002248  4.997 -4.398
27 3.1141390E+06  27.6624 5.932 4.358 0.000000 0.961015 0.000698 0.030298 0.001391  5.021 -3.612
28 3.1305820E+06  24.1414 5.878 4.387 0.000000 0.704025 0.219111 0.000000 0.023257  5.166 -3.536
29 3.1484765E+06  20.0646 5.727 4.424 0.000000 0.650077 0.261135 0.000000 0.035150  5.136 -3.740
30 3.1670995E+06  17.2656 5.629 4.461 0.000000 0.615590 0.286474 0.000000 0.044279  5.131 -3.902
31 3.1871768E+06  15.1444 5.543 4.494 0.000000 0.579884 0.311515 0.000000 0.054923  5.128 -4.045
32 3.2079465E+06  13.5280 5.468 4.520 0.000000 0.544261 0.335149 0.000000 0.066892  5.124 -4.168
33 3.2305923E+06  12.1849 5.397 4.544 0.000000 0.509197 0.356945 0.000000 0.080138  5.121 -4.282
34 3.2546010E+06  11.0758 5.332 4.565 0.000000 0.472567 0.377958 0.000000 0.095732  5.118 -4.385
35 3.2809550E+06  10.1118 5.270 4.584 0.000000 0.437056 0.396387 0.000000 0.112789  5.115 -4.484
36 3.3093165E+06   9.2803 5.212 4.602 0.000000 0.401167 0.412777 0.000000 0.132261  5.111 -4.577
37 3.3399785E+06   8.5513 5.157 4.619 0.000000 0.365712 0.426445 0.000000 0.154017  5.109 -4.667
38 3.3749458E+06   7.8745 5.102 4.636 0.000000 0.328307 0.437682 0.000000 0.180148  5.109 -4.756
39 3.4135310E+06   7.2653 5.050 4.654 0.000000 0.291726 0.444940 0.000000 0.209428  5.109 -4.844
40 3.4597295E+06   6.6721 4.998 4.676 0.000000 0.249059 0.447697 0.000000 0.249276  5.115 -4.936
41 3.4815293E+06   6.4317 4.978 4.687 0.000000 0.234648 0.447010 0.000000 0.264350  5.121 -4.975
42 3.5038640E+06   6.2070 4.964 4.704 0.000000 0.217060 0.444871 0.000000 0.284043  5.134 -5.017
43 3.5172100E+06   6.0820 5.000 4.739 0.000000 0.206644 0.442875 0.000000 0.296433  5.178 -5.040
44 3.5232735E+06   6.0273 5.081 4.792 0.000000 0.202042 0.441805 0.000000 0.302093  5.252 -5.049
45 3.5289940E+06   5.9768 5.181 4.802 0.000000 0.198244 0.440832 0.000000 0.306856  5.237 -5.058
46 3.5303310E+06   5.9652 5.215 4.801 0.000000 0.197194 0.440554 0.000000 0.308181  5.224 -5.061
47 3.5307765E+06   5.9613 5.229 4.799 0.000000 0.196928 0.440481 0.000000 0.308520  5.216 -5.062
48 3.5308265E+06   5.9609 5.230 4.798 0.000000 0.196898 0.440473 0.000000 0.308557  5.215 -5.062
49 3.5308560E+06   5.9606 5.231 4.798 0.000000 0.196881 0.440468 0.000000 0.308579  5.215 -5.062
50 3.5308750E+06   5.9604 5.234 4.799 0.000000 0.196870 0.440465 0.000000 0.308593  5.216 -5.062
51 3.5308990E+06   5.9602 5.243 4.805 0.000000 0.196856 0.440462 0.000000 0.308611  5.224 -5.062

   40.00 WR

 1 3.0502320E+04  39.9819 5.416 4.631 0.620000 0.340000 0.009730 0.002474 0.021073  4.631 -6.446
 2 5.7263838E+05  39.7592 5.445 4.621 0.620000 0.340000 0.009730 0.002474 0.021073  4.621 -6.332
 3 1.0883964E+06  39.4815 5.474 4.610 0.620000 0.340000 0.009730 0.002474 0.021073  4.610 -6.212
 4 1.5560426E+06  39.1514 5.500 4.598 0.620000 0.340000 0.009730 0.002474 0.021073  4.598 -6.097
 5 1.9641419E+06  38.7756 5.523 4.583 0.620000 0.340000 0.009730 0.002474 0.021070  4.583 -5.978
 6 2.4692000E+06  38.1167 5.555 4.553 0.620000 0.340000 0.009730 0.002474 0.021073  4.553 -5.797
 7 2.8930698E+06  37.2868 5.583 4.514 0.620000 0.340000 0.009730 0.002474 0.021073  4.514 -5.625
 8 3.1794375E+06  36.5012 5.603 4.470 0.620000 0.340000 0.009730 0.002474 0.021073  4.470 -5.503
 9 3.4346120E+06  35.5803 5.622 4.401 0.620000 0.340000 0.009730 0.002474 0.021073  4.401 -5.390
10 3.5920120E+06  34.8828 5.634 4.333 0.620000 0.340000 0.009729 0.002474 0.021073  4.333 -5.319
11 3.7846145E+06  33.7936 5.657 4.199 0.620000 0.340000 0.009729 0.002474 0.021073  4.199 -5.158
12 3.8039478E+06  33.6580 5.669 4.211 0.620000 0.340000 0.009729 0.002474 0.021073  4.211 -5.156
13 3.8068400E+06  33.6377 5.690 4.223 0.620000 0.340000 0.009729 0.002474 0.021073  4.223 -5.138
14 3.8095328E+06  33.6181 5.688 4.203 0.620000 0.340000 0.009729 0.002474 0.021073  4.203 -5.125
15 3.8100793E+06  33.6134 5.688 4.139 0.620000 0.340000 0.009729 0.002474 0.021073  4.139 -5.011
16 3.8104763E+06  33.6087 5.690 4.064 0.620000 0.340000 0.009729 0.002474 0.021073  4.064 -4.855
17 3.8107525E+06  33.6038 5.690 3.998 0.620000 0.340000 0.009729 0.002474 0.021073  3.998 -4.648
18 3.8109595E+06  33.5979 5.692 3.927 0.620000 0.340000 0.009729 0.002474 0.021073  3.927 -4.430
19 3.8113678E+06  33.5762 5.691 3.853 0.620000 0.340000 0.009729 0.002474 0.021073  3.853 -4.200
20 3.8139835E+06  33.3635 5.690 3.776 0.619998 0.340003 0.009725 0.002475 0.021073  3.776 -3.962
21 3.8145950E+06  33.2871 5.718 3.768 0.619212 0.340755 0.009417 0.002869 0.020994  3.768 -3.859
22 3.8214660E+06  32.0219 5.768 3.771 0.559613 0.400257 0.005775 0.010545 0.017093  3.771 -3.716
23 3.8445885E+06  27.6075 5.774 3.779 0.520341 0.439598 0.004796 0.013310 0.015270  3.779 -3.726
